Filename,Title,Keywords,Category,Releases
meulindo_An_overhead_wide_shot_of_a_crowded_urban_subway_plat_517398a2-602b-41e5-8608-a89900373fd6_0.png,Plataforma movimentada do metrô com passageiros à espera do trem em luz natural e artificial capturada com lente 24mm,"metrô, plataforma, passageiros, espera, trem, luz natural, artificial, lente 24mm, movimento, transporte público, mobilidade, urbanidade, público, aglomeração, cidade, modernidade, tecnologia, deslocamento, fotografia, captura, perspectiva, viagem, composição, convergência, iluminação, arquitetura, design, infraestrutura, cena urbana, cotidiano, ritmo, movimentação, expectativa, passageiros, fluxo, metropolitano, captura de imagens, angulação, enquadramento, contraste, detalhes",20,
meulindo_A_50mm_lens_captures_a_wide_shot_of_a_crowded_urban__c9f3a609-c3cf-4cf0-a8c1-31d4ed543239_0.png,Estação lotada durante a hora do rush: vibrante movimento de passageiros e trens em um dia agitado,"movimento, estação lotada, hora do rush, passageiros, trens, agitação, transporte público, fluxo, aglomeração, movimentação, frenesi, dinamismo, urbanidade, comutação, movimento pendular, metrópole, corrida contra o tempo, estresse, conexão, mobilidade, aglomerado, frenético, caos, deslocamento, horário de pico, circulação, desafio, expectativa, rapidez, multidão, pressa, organização, logística, eficiência, pontualidade, expectativa, espera, viagem, compromissos",20,
meulindo_A_50mm_lens_captures_a_wide_shot_of_a_crowded_urban__c9f3a609-c3cf-4cf0-a8c1-31d4ed543239_1.png,Estação lotada durante a hora do rush: vibrante movimento de passageiros e trens em um dia agitado,"movimento, estação lotada, hora do rush, passageiros, trens, agitação, transporte público, fluxo, aglomeração, movimentação, frenesi, dinamismo, urbanidade, comutação, movimento pendular, metrópole, corrida contra o tempo, estresse, conexão, mobilidade, aglomerado, frenético, caos, deslocamento, horário de pico, circulação, desafio, expectativa, rapidez, multidão, pressa, organização, logística, eficiência, pontualidade, expectativa, espera, viagem, compromissos",20,
meulindo_A_50mm_lens_captures_a_wide_shot_of_a_crowded_urban__c9f3a609-c3cf-4cf0-a8c1-31d4ed543239_2.png,Estação lotada durante a hora do rush: vibrante movimento de passageiros e trens em um dia agitado,"movimento, estação lotada, hora do rush, passageiros, trens, agitação, transporte público, fluxo, aglomeração, movimentação, frenesi, dinamismo, urbanidade, comutação, movimento pendular, metrópole, corrida contra o tempo, estresse, conexão, mobilidade, aglomerado, frenético, caos, deslocamento, horário de pico, circulação, desafio, expectativa, rapidez, multidão, pressa, organização, logística, eficiência, pontualidade, expectativa, espera, viagem, compromissos",20,
meulindo_A_closeup_shot_captured_with_a_50mm_lens_of_a_woman__b3eb8596-782c-493e-8a8f-fb3e7545c8bf_0.png,Mulher em traje formal acenando para um táxi em rua movimentada com prédios altos e tráfego desfocado ao fundo,"mulher, traje formal, acenando, táxi, rua movimentada, prédios altos, tráfego, movimento, urbanismo, cidade, transporte, solicitação, deslocamento, metrópole, comunicação visual, mobilidade, agitação, negócios, trabalho, estilo, elegância, modernidade, independência, profissionalismo, serviço, sinalizar, pedestre, metrópole, vida urbana, aspiração, conveniência, feminino, autoconfiança, dinamismo, espera, expectativa, destino, pontualidade",20,
meulindo_A_closeup_shot_captured_with_a_50mm_lens_of_a_woman__b3eb8596-782c-493e-8a8f-fb3e7545c8bf_1.png,Mulher em traje formal acenando para um táxi em rua movimentada com prédios altos e tráfego desfocado ao fundo,"mulher, traje formal, acenando, táxi, rua movimentada, prédios altos, tráfego, movimento, urbanismo, cidade, transporte, solicitação, deslocamento, metrópole, comunicação visual, mobilidade, agitação, negócios, trabalho, estilo, elegância, modernidade, independência, profissionalismo, serviço, sinalizar, pedestre, metrópole, vida urbana, aspiração, conveniência, feminino, autoconfiança, dinamismo, espera, expectativa, destino, pontualidade",20,
meulindo_A_closeup_shot_captured_with_a_50mm_lens_of_a_woman__b3eb8596-782c-493e-8a8f-fb3e7545c8bf_3.png,Mulher em traje formal acenando para um táxi em rua movimentada com prédios altos e tráfego desfocado ao fundo,"mulher, traje formal, acenando, táxi, rua movimentada, prédios altos, tráfego, movimento, urbanismo, cidade, transporte, solicitação, deslocamento, metrópole, comunicação visual, mobilidade, agitação, negócios, trabalho, estilo, elegância, modernidade, independência, profissionalismo, serviço, sinalizar, pedestre, metrópole, vida urbana, aspiração, conveniência, feminino, autoconfiança, dinamismo, espera, expectativa, destino, pontualidade",20,
meulindo_A_closeup_shot_of_a_cyclist_riding_along_a_bike_path_63b67624-b2b0-455f-94eb-cb69ac49dddd_0.png,Ciclista determinado pedalando por um parque exuberante com foco na expressão do ciclista e no fundo desfocado,"ciclista, determinação, pedalando, parque exuberante, expressão, fundo desfocado, natureza, esporte, atividade física, bem-estar, lazer, aventura, equilíbrio, superação, velocidade, movimento, alívio, serenidade, ar livre, saúde, cuidado, concentração, vitalidade, energia, liberdade, paisagem, contemplação, desafio, resistência, força, destreza, habilidade, competitividade, condicionamento físico, relaxamento, conexão com a natureza, diversão, emoção, adrenalina, recreação",20,
meulindo_A_closeup_shot_of_a_cyclist_riding_along_a_bike_path_63b67624-b2b0-455f-94eb-cb69ac49dddd_1.png,Ciclista determinado pedalando por um parque exuberante com foco na expressão do ciclista e no fundo desfocado,"ciclista, determinação, pedalando, parque exuberante, expressão, fundo desfocado, natureza, esporte, atividade física, bem-estar, lazer, aventura, equilíbrio, superação, velocidade, movimento, alívio, serenidade, ar livre, saúde, cuidado, concentração, vitalidade, energia, liberdade, paisagem, contemplação, desafio, resistência, força, destreza, habilidade, competitividade, condicionamento físico, relaxamento, conexão com a natureza, diversão, emoção, adrenalina, recreação",20,
meulindo_A_closeup_shot_of_a_cyclist_riding_along_a_bike_path_63b67624-b2b0-455f-94eb-cb69ac49dddd_2.png,Ciclista determinado pedalando por um parque exuberante com foco na expressão do ciclista e no fundo desfocado,"ciclista, determinação, pedalando, parque exuberante, expressão, fundo desfocado, natureza, esporte, atividade física, bem-estar, lazer, aventura, equilíbrio, superação, velocidade, movimento, alívio, serenidade, ar livre, saúde, cuidado, concentração, vitalidade, energia, liberdade, paisagem, contemplação, desafio, resistência, força, destreza, habilidade, competitividade, condicionamento físico, relaxamento, conexão com a natureza, diversão, emoção, adrenalina, recreação",20,
meulindo_A_closeup_shot_of_a_cyclist_riding_along_a_bike_path_63b67624-b2b0-455f-94eb-cb69ac49dddd_3.png,Ciclista determinado pedalando por um parque exuberante com foco na expressão do ciclista e no fundo desfocado,"ciclista, determinação, pedalando, parque exuberante, expressão, fundo desfocado, natureza, esporte, atividade física, bem-estar, lazer, aventura, equilíbrio, superação, velocidade, movimento, alívio, serenidade, ar livre, saúde, cuidado, concentração, vitalidade, energia, liberdade, paisagem, contemplação, desafio, resistência, força, destreza, habilidade, competitividade, condicionamento físico, relaxamento, conexão com a natureza, diversão, emoção, adrenalina, recreação",20,
meulindo_A_closeup_shot_with_a_50mm_lens_capturing_a_young_wo_1d8c1b08-85b5-43c3-8eeb-323b7587a285_0.png,Uma jovem mulher urbanizada sorri enquanto ouve música pelo celular com fones de ouvido sem fio em um close,"sorriso, jovem, mulher, urbanizada, música, celular, fones de ouvido, close, felicidade, tecnologia, estilo de vida, alegria, urbano, modernidade, sorriso, jovem, mulher, sentir-se bem, liberdade, independência, positividade, música, entretenimento, lazer, relaxamento, tecnologia sem fio, conexão, moderna, jovialidade, expressão, moda, desfrutar, contemporâneo, diversão, satisfação, modernidade, urbano",20,
meulindo_A_closeup_shot_with_a_50mm_lens_capturing_a_young_wo_1d8c1b08-85b5-43c3-8eeb-323b7587a285_1.png,Uma jovem mulher urbanizada sorri enquanto ouve música pelo celular com fones de ouvido sem fio em um close,"sorriso, jovem, mulher, urbanizada, música, celular, fones de ouvido, close, felicidade, tecnologia, estilo de vida, alegria, urbano, modernidade, sorriso, jovem, mulher, sentir-se bem, liberdade, independência, positividade, música, entretenimento, lazer, relaxamento, tecnologia sem fio, conexão, moderna, jovialidade, expressão, moda, desfrutar, contemporâneo, diversão, satisfação, modernidade, urbano",20,
meulindo_A_closeup_shot_with_a_50mm_lens_capturing_the_front__8490748c-17bf-4b14-a5be-e0bc884c22f9_0.png,Um elegante carro esportivo preto estacionado em um cenário urbano com prédios da cidade ao fundo,"carro esportivo, elegância, preto, estacionado, cenário urbano, prédios, cidade, luxo, automóvel, velocidade, estilo, modernidade, sofisticação, motor, design, potência, ruas, urbanidade, tecnologia, admiração, prestígio, dinamismo, status, desempenho, urbanização, metrópole, arranha-céus, mobilidade, conforto, exclusividade, admiração, fascínio, avanço, glamour, mecânica, deslumbramento, esportividade, aventura, sedução, ousadia",20,
