Filename,Title,Keywords,Category,Releases
meulindo_An_aerial_shot_with_a_wide_angle_lens_of_a_colorful__29829d80-d468-4b8e-bbe3-a6610841b45e_0.png,Coquetéis Coloridos Preparados por Bartenders em um Bar Animado,"coquetéis, bartender, bar, animação, bebidas, preparação, destaque visual, entretenimento, criatividade, mixologia, diversão, sabores, apresentação, experiência sensorial, agitação, happy hour, interação, socialização, atmosfera vibrante, harmonização, inovação, personalização, descontração, satisfação, curiosidade, degustação, variedade, refrescância, elegância, tendências, originalidade, qualidade, encantamento, glamour, exclusividade, elegância, celebração, eventos especiais, experiência única, atmosfera festiva",4,
meulindo_An_aerial_shot_with_a_wide_angle_lens_of_a_colorful__29829d80-d468-4b8e-bbe3-a6610841b45e_2.png,Coquetéis Coloridos Preparados por Bartenders em um Bar Animado,"coquetéis, bartender, bar, animação, bebidas, preparação, destaque visual, entretenimento, criatividade, mixologia, diversão, sabores, apresentação, experiência sensorial, agitação, happy hour, interação, socialização, atmosfera vibrante, harmonização, inovação, personalização, descontração, satisfação, curiosidade, degustação, variedade, refrescância, elegância, tendências, originalidade, qualidade, encantamento, glamour, exclusividade, elegância, celebração, eventos especiais, experiência única, atmosfera festiva",4,
meulindo_An_aerial_shot_with_a_wide_angle_lens_of_a_colorful__29829d80-d468-4b8e-bbe3-a6610841b45e_3.png,Coquetéis Coloridos Preparados por Bartenders em um Bar Animado,"coquetéis, bartender, bar, animação, bebidas, preparação, destaque visual, entretenimento, criatividade, mixologia, diversão, sabores, apresentação, experiência sensorial, agitação, happy hour, interação, socialização, atmosfera vibrante, harmonização, inovação, personalização, descontração, satisfação, curiosidade, degustação, variedade, refrescância, elegância, tendências, originalidade, qualidade, encantamento, glamour, exclusividade, elegância, celebração, eventos especiais, experiência única, atmosfera festiva",4,
meulindo_An_elegant_martini_glass_filled_with_a_clear_liquid__0fce529b-9cee-495e-8258-71963be04923_0.png,Um martini elegante em um copo de vidro com líquido claro e limão em close-up,"martini, elegância, copo de vidro, líquido claro, limão, close-up, bebida, coquetel, happy hour, bar, mixologia, refrescante, extravagante, sofisticado, glamour, aroma de limão, sabor cítrico, frescor, bebida alcoólica, festa, celebração, elegante, requintado, garnish, preparo de drinks, entretenimento, sociabilidade, relaxamento, indulgência, aperitivo, coquetelaria, agitação, vida noturna, delicioso, tentador, brindes, descontração, satisfação, vitalidade, prazer, harmonia",4,
meulindo_An_elegant_martini_glass_filled_with_a_clear_liquid__0fce529b-9cee-495e-8258-71963be04923_1.png,Um martini elegante em um copo de vidro com líquido claro e limão em close-up,"martini, elegância, copo de vidro, líquido claro, limão, close-up, bebida, coquetel, happy hour, bar, mixologia, refrescante, extravagante, sofisticado, glamour, aroma de limão, sabor cítrico, frescor, bebida alcoólica, festa, celebração, elegante, requintado, garnish, preparo de drinks, entretenimento, sociabilidade, relaxamento, indulgência, aperitivo, coquetelaria, agitação, vida noturna, delicioso, tentador, brindes, descontração, satisfação, vitalidade, prazer, harmonia",4,
meulindo_An_elegant_martini_glass_filled_with_a_clear_liquid__0fce529b-9cee-495e-8258-71963be04923_2.png,Um martini elegante em um copo de vidro com líquido claro e limão em close-up,"martini, elegância, copo de vidro, líquido claro, limão, close-up, bebida, coquetel, happy hour, bar, mixologia, refrescante, extravagante, sofisticado, glamour, aroma de limão, sabor cítrico, frescor, bebida alcoólica, festa, celebração, elegante, requintado, garnish, preparo de drinks, entretenimento, sociabilidade, relaxamento, indulgência, aperitivo, coquetelaria, agitação, vida noturna, delicioso, tentador, brindes, descontração, satisfação, vitalidade, prazer, harmonia",4,
meulindo_An_elegant_martini_glass_filled_with_a_clear_liquid__0fce529b-9cee-495e-8258-71963be04923_3.png,Um martini elegante em um copo de vidro com líquido claro e limão em close-up,"martini, elegância, copo de vidro, líquido claro, limão, close-up, bebida, coquetel, happy hour, bar, mixologia, refrescante, extravagante, sofisticado, glamour, aroma de limão, sabor cítrico, frescor, bebida alcoólica, festa, celebração, elegante, requintado, garnish, preparo de drinks, entretenimento, sociabilidade, relaxamento, indulgência, aperitivo, coquetelaria, agitação, vida noturna, delicioso, tentador, brindes, descontração, satisfação, vitalidade, prazer, harmonia",4,
meulindo_An_elegant_wine_glass_filled_with_red_wine_placed_on_62b59984-b7d1-46e0-903f-8a36ca8a70e2_0.png,Momento Aconchegante: Taça de Vinho Tinto em Luz Suave Mesa de Madeira Foco em Primeiro Plano,"taça de vinho tinto, momento aconchegante, luz suave, mesa de madeira, foco em primeiro plano, relaxamento, degustação, tranquilidade, prazer, harmonia, bem-estar, vinho, confraternização, intimidade, cena cotidiana, elegância, sofisticação, atmosfera descontraída, taça elegante, apreciação, saboroso",4,
meulindo_An_elegant_wine_glass_filled_with_red_wine_placed_on_62b59984-b7d1-46e0-903f-8a36ca8a70e2_1.png,Momento Aconchegante: Taça de Vinho Tinto em Luz Suave Mesa de Madeira Foco em Primeiro Plano,"taça de vinho tinto, momento aconchegante, luz suave, mesa de madeira, foco em primeiro plano, relaxamento, degustação, tranquilidade, prazer, harmonia, bem-estar, vinho, confraternização, intimidade, cena cotidiana, elegância, sofisticação, atmosfera descontraída, taça elegante, apreciação, saboroso",4,
meulindo_An_elegant_wine_glass_filled_with_red_wine_placed_on_62b59984-b7d1-46e0-903f-8a36ca8a70e2_2.png,Momento Aconchegante: Taça de Vinho Tinto em Luz Suave Mesa de Madeira Foco em Primeiro Plano,"taça de vinho tinto, momento aconchegante, luz suave, mesa de madeira, foco em primeiro plano, relaxamento, degustação, tranquilidade, prazer, harmonia, bem-estar, vinho, confraternização, intimidade, cena cotidiana, elegância, sofisticação, atmosfera descontraída, taça elegante, apreciação, saboroso",4,
