Filename,Title,Keywords,Category,Releases
meulindo_An_aerial_shot_with_a_wide_angle_lens_of_a_colorful__29829d80-d468-4b8e-bbe3-a6610841b45e_0.png,Coquetéis coloridos alinhados no balcão com bartenders preparando bebidas em um ambiente agitado,"coquetéis, bartenders, bebidas coloridas, balcão, drink, preparação, agitação, ambiente, barman, mistura, agito, festa, entretenimento, diversão, criatividade, coquetelaria, habilidade, coordenação, cores vibrantes, apresentação, copos, diversidade de sabores, experiência sensorial, interação, sabor, tendência, coletividade, happy hour, socialização, modernidade, inovação, estilo, descontração, mixologia, deliciosos, sazonal, consumo responsável, qualidade, luxo",4,
meulindo_An_aerial_shot_with_a_wide_angle_lens_of_a_colorful__29829d80-d468-4b8e-bbe3-a6610841b45e_2.png,Coquetéis coloridos alinhados no balcão com bartenders preparando bebidas em um ambiente agitado,"coquetéis, bartenders, bebidas coloridas, balcão, drink, preparação, agitação, ambiente, barman, mistura, agito, festa, entretenimento, diversão, criatividade, coquetelaria, habilidade, coordenação, cores vibrantes, apresentação, copos, diversidade de sabores, experiência sensorial, interação, sabor, tendência, coletividade, happy hour, socialização, modernidade, inovação, estilo, descontração, mixologia, deliciosos, sazonal, consumo responsável, qualidade, luxo",4,
meulindo_An_aerial_shot_with_a_wide_angle_lens_of_a_colorful__29829d80-d468-4b8e-bbe3-a6610841b45e_3.png,Coquetéis coloridos alinhados no balcão com bartenders preparando bebidas em um ambiente agitado,"coquetéis, bartenders, bebidas coloridas, balcão, drink, preparação, agitação, ambiente, barman, mistura, agito, festa, entretenimento, diversão, criatividade, coquetelaria, habilidade, coordenação, cores vibrantes, apresentação, copos, diversidade de sabores, experiência sensorial, interação, sabor, tendência, coletividade, happy hour, socialização, modernidade, inovação, estilo, descontração, mixologia, deliciosos, sazonal, consumo responsável, qualidade, luxo",4,
meulindo_An_elegant_martini_glass_filled_with_a_clear_liquid__0fce529b-9cee-495e-8258-71963be04923_0.png,Um sofisticado cocktail de limão em copo de martini em closeup com luz suave em fundo escuro,"limão, cocktail, martini, sofisticado, closeup, luz suave, fundo escuro, bebida, refrescante, requintado, bartending, mixologia, coquetelaria, bar, elegante, cítrico, bebida alcoólica, fruta, saboroso, frescor, preparação, drinque, bebida exclusiva, harmonização, coquetel de limão, drink, luxuoso, contemporâneo, artesanal, preparo, experiência sensorial, aroma, visual, paladar, composição, decorativo, atraente, descontraído, relaxante, degustação, requinte",4,
meulindo_An_elegant_martini_glass_filled_with_a_clear_liquid__0fce529b-9cee-495e-8258-71963be04923_1.png,Um sofisticado cocktail de limão em copo de martini em closeup com luz suave em fundo escuro,"limão, cocktail, martini, sofisticado, closeup, luz suave, fundo escuro, bebida, refrescante, requintado, bartending, mixologia, coquetelaria, bar, elegante, cítrico, bebida alcoólica, fruta, saboroso, frescor, preparação, drinque, bebida exclusiva, harmonização, coquetel de limão, drink, luxuoso, contemporâneo, artesanal, preparo, experiência sensorial, aroma, visual, paladar, composição, decorativo, atraente, descontraído, relaxante, degustação, requinte",4,
meulindo_An_elegant_martini_glass_filled_with_a_clear_liquid__0fce529b-9cee-495e-8258-71963be04923_2.png,Um sofisticado cocktail de limão em copo de martini em closeup com luz suave em fundo escuro,"limão, cocktail, martini, sofisticado, closeup, luz suave, fundo escuro, bebida, refrescante, requintado, bartending, mixologia, coquetelaria, bar, elegante, cítrico, bebida alcoólica, fruta, saboroso, frescor, preparação, drinque, bebida exclusiva, harmonização, coquetel de limão, drink, luxuoso, contemporâneo, artesanal, preparo, experiência sensorial, aroma, visual, paladar, composição, decorativo, atraente, descontraído, relaxante, degustação, requinte",4,
meulindo_An_elegant_martini_glass_filled_with_a_clear_liquid__0fce529b-9cee-495e-8258-71963be04923_3.png,Um sofisticado cocktail de limão em copo de martini em closeup com luz suave em fundo escuro,"limão, cocktail, martini, sofisticado, closeup, luz suave, fundo escuro, bebida, refrescante, requintado, bartending, mixologia, coquetelaria, bar, elegante, cítrico, bebida alcoólica, fruta, saboroso, frescor, preparação, drinque, bebida exclusiva, harmonização, coquetel de limão, drink, luxuoso, contemporâneo, artesanal, preparo, experiência sensorial, aroma, visual, paladar, composição, decorativo, atraente, descontraído, relaxante, degustação, requinte",4,
meulindo_An_elegant_wine_glass_filled_with_red_wine_placed_on_62b59984-b7d1-46e0-903f-8a36ca8a70e2_0.png,Um copo de vinho tinto em uma atmosfera aconchegante com destaque para a taça em closeup,"vinho tinto, atmosfera aconchegante, taça, closeup, degustação, relaxamento, requinte, aroma, sabor, apreciação, enologia, harmonização, descontração, brindar, confraternização, elegância, sofisticação, notação sensorial, apreciador, enófilo, prazer, indulgência, ritual, sedução, celebração, vinícola, tradição, envelhecimento, bouquet, corpo, textura, elegância, nuances, experiência sensorial, convívio, socialização, enraizamento, prazer gastronômico, complexidade, indulgência",4,
meulindo_An_elegant_wine_glass_filled_with_red_wine_placed_on_62b59984-b7d1-46e0-903f-8a36ca8a70e2_1.png,Um copo de vinho tinto em uma atmosfera aconchegante com destaque para a taça em closeup,"vinho tinto, atmosfera aconchegante, taça, closeup, degustação, relaxamento, requinte, aroma, sabor, apreciação, enologia, harmonização, descontração, brindar, confraternização, elegância, sofisticação, notação sensorial, apreciador, enófilo, prazer, indulgência, ritual, sedução, celebração, vinícola, tradição, envelhecimento, bouquet, corpo, textura, elegância, nuances, experiência sensorial, convívio, socialização, enraizamento, prazer gastronômico, complexidade, indulgência",4,
meulindo_An_elegant_wine_glass_filled_with_red_wine_placed_on_62b59984-b7d1-46e0-903f-8a36ca8a70e2_2.png,Um copo de vinho tinto em uma atmosfera aconchegante com destaque para a taça em closeup,"vinho tinto, atmosfera aconchegante, taça, closeup, degustação, relaxamento, requinte, aroma, sabor, apreciação, enologia, harmonização, descontração, brindar, confraternização, elegância, sofisticação, notação sensorial, apreciador, enófilo, prazer, indulgência, ritual, sedução, celebração, vinícola, tradição, envelhecimento, bouquet, corpo, textura, elegância, nuances, experiência sensorial, convívio, socialização, enraizamento, prazer gastronômico, complexidade, indulgência",4,
meulindo_An_elegant_wine_glass_filled_with_red_wine_placed_on_62b59984-b7d1-46e0-903f-8a36ca8a70e2_3.png,Um copo de vinho tinto em uma atmosfera aconchegante com destaque para a taça em closeup,"vinho tinto, atmosfera aconchegante, taça, closeup, degustação, relaxamento, requinte, aroma, sabor, apreciação, enologia, harmonização, descontração, brindar, confraternização, elegância, sofisticação, notação sensorial, apreciador, enófilo, prazer, indulgência, ritual, sedução, celebração, vinícola, tradição, envelhecimento, bouquet, corpo, textura, elegância, nuances, experiência sensorial, convívio, socialização, enraizamento, prazer gastronômico, complexidade, indulgência",4,
meulindo_An_overhead_shot_with_a_50mm_lens_capturing_a_variet_08e965bd-9053-4cc9-80f9-de98e62722d4_3.png,Uma variedade de coquetéis e mocktails coloridos em um balcão rústico com frutas frescas e ervas como decoração,"coquetéis, mocktails, variedade, coloridos, balcão rústico, frutas frescas, ervas, decoração, bebidas, mixologia, bar, atmosfera, atraente, refrescante, criatividade, verão, festa, celebração, saboroso, apresentação, mix, ingredientes frescos, experiência sensorial, diversão, opções, personalização, entretenimento, descontração, harmonia, equilíbrio, experiência visual, aroma, paladar, refrescância, exótico, energizante, coletividade, degustação, interação, socialização",4,
meulindo_An_overhead_shot_with_a_wideangle_lens_capturing_a_v_fa2a10a5-1d5f-446d-8243-4590106b84de_0.png,Coquetéis Coloridos e Bebidas Refrescantes em um Bar ao Ar Livre com Atmosfera Tropical e Luz Natural Suave,"bebidas, coquetéis, bar, atmosfera tropical, luz natural, refrescante, coloridos, ao ar livre, bebidas alcoólicas, happy hour, verão, frutas, tropical, relaxamento, descontração, diversão, entretenimento, cocktails, bebidas geladas, barman, mixologia, paraíso, férias, lazer, brisa, calor, frutas tropicais, vida noturna, suco natural, álcool, festa, ambiente descontraído, verão eterno, descontraído, mixologista, experiência sensorial, drinks, alegria, energizante, coquetelaria artesanal",4,
meulindo_An_overhead_shot_with_a_wideangle_lens_capturing_a_v_fa2a10a5-1d5f-446d-8243-4590106b84de_1.png,Coquetéis Coloridos e Bebidas Refrescantes em um Bar ao Ar Livre com Atmosfera Tropical e Luz Natural Suave,"bebidas, coquetéis, bar, atmosfera tropical, luz natural, refrescante, coloridos, ao ar livre, bebidas alcoólicas, happy hour, verão, frutas, tropical, relaxamento, descontração, diversão, entretenimento, cocktails, bebidas geladas, barman, mixologia, paraíso, férias, lazer, brisa, calor, frutas tropicais, vida noturna, suco natural, álcool, festa, ambiente descontraído, verão eterno, descontraído, mixologista, experiência sensorial, drinks, alegria, energizante, coquetelaria artesanal",4,
meulindo_An_overhead_shot_with_a_wideangle_lens_capturing_a_v_fa2a10a5-1d5f-446d-8243-4590106b84de_2.png,Coquetéis Coloridos e Bebidas Refrescantes em um Bar ao Ar Livre com Atmosfera Tropical e Luz Natural Suave,"bebidas, coquetéis, bar, atmosfera tropical, luz natural, refrescante, coloridos, ao ar livre, bebidas alcoólicas, happy hour, verão, frutas, tropical, relaxamento, descontração, diversão, entretenimento, cocktails, bebidas geladas, barman, mixologia, paraíso, férias, lazer, brisa, calor, frutas tropicais, vida noturna, suco natural, álcool, festa, ambiente descontraído, verão eterno, descontraído, mixologista, experiência sensorial, drinks, alegria, energizante, coquetelaria artesanal",4,
meulindo_An_overhead_shot_with_a_wideangle_lens_capturing_a_v_fa2a10a5-1d5f-446d-8243-4590106b84de_3.png,Coquetéis Coloridos e Bebidas Refrescantes em um Bar ao Ar Livre com Atmosfera Tropical e Luz Natural Suave,"bebidas, coquetéis, bar, atmosfera tropical, luz natural, refrescante, coloridos, ao ar livre, bebidas alcoólicas, happy hour, verão, frutas, tropical, relaxamento, descontração, diversão, entretenimento, cocktails, bebidas geladas, barman, mixologia, paraíso, férias, lazer, brisa, calor, frutas tropicais, vida noturna, suco natural, álcool, festa, ambiente descontraído, verão eterno, descontraído, mixologista, experiência sensorial, drinks, alegria, energizante, coquetelaria artesanal",4,
meulindo_A_closeup_shot_of_a_glass_of_red_wine_on_a_wooden_ta_f6560ad7-4f06-4551-9e5c-09be8e4ffcd0_0.png,Um copo de vinho tinto em uma mesa de madeira iluminado suavemente por uma vela ao fundo,"vinho tinto, mesa de madeira, vela, ambiente aconchegante, relaxamento, degustação, prazer, harmonia, tranquilidade, elegância, experiência sensorial, sabor, aroma, sofisticação, romantismo, celebração, enoturismo, sedução, apreciação, simbolismo, encontro, enologia, refinamento, refinado, ritual, requinte, contemplação, intensidade, equilíbrio, textura, cor, luz, reflexo, tonalidade, atmosfera, descanso, serenidade, intimidade, indulgência, indulgente, experiência única",4,
