Filename,Title,Description,Keywords,License
meulindo_A_closeup_shot_of_a_person_sitting_alone_on_a_bench__19561197-d7e2-44c2-9f24-2fc026bd83dc_0,AI generated Contemplative Park Bench Solitude and Soft Light Capture Moments of Reflection,,"ai generated,Person, Sitting, Bench, Park, Contemplative, Distant gaze, Medium shot, 50mm lens, Face, Soft, Natural light, Muted, Green tones",Free
meulindo_A_closeup_shot_of_a_person_sitting_alone_on_a_bench__19561197-d7e2-44c2-9f24-2fc026bd83dc_1,AI generated Contemplative Figure Embraces Solitude in Park Bathed in Soft Natural Light and Muted Green Tones,,"ai generated,Closeup, Contemplative, Distant gaze, Alone, Bench, Park, Person, Medium shot, 50mm lens, Soft natural light, Muted green tones, Solitude, Reflective, Tranquil, Peaceful, Serene, Quiet, Outdoor, Relaxation, Introspective, Inner thoughts",Free
meulindo_A_closeup_shot_of_a_person_sitting_alone_on_a_bench__19561197-d7e2-44c2-9f24-2fc026bd83dc_2,AI generated Contemplative Park Bench Moment Persons Distant Gaze Soft Light Muted Green Tones Captured with 50mm Lens,,"ai generated,Person, Contemplative, Bench, Park, Alone, Gaze, Medium shot, 50mm lens, Soft natural light, Muted green tones, Solitude, Reflective, Quiet, Serene, Tranquil, Thoughtful, Deep in thought, Pensive, Relaxing, Meditative, Outdoor, Peaceful, Peacefulness, Alone in the park, Deep in contemplation, Introspective, Thoughtprovoking, Contemplation, Relaxation, Silence, Stillness, Mindful, Inner peace, Quiet moment, Observant, Absorbed, Unwind, Indulgent, Harmonious, Introspection",Free
meulindo_A_closeup_shot_of_a_person_sitting_alone_on_a_bench__19561197-d7e2-44c2-9f24-2fc026bd83dc_3,AI generated Contemplative Park Bench Alone Pensive Soft Light Muted Tones Distant Gaze,,"ai generated,Person, Alone, Bench, Park, Contemplative, Gaze, Medium shot, 50mm lens, Soft light, Muted tones, Sitting, Face, Distant, Contemplation, Quiet, Solitude, Stillness, Tranquility, Reflection, Peaceful, Serene, Calm, Nature, Outdoors, Green, Relaxation, Mood, Melancholy, Introspective, Thoughtful, Pensive, Solitary, Meditative, Loneliness, Alone, Secluded, Serenity, Muted colors, Silence, Harmony, Emotional, Distance, Perspective",Free
meulindo_A_closeup_shot_of_a_person_with_a_50mm_lens_looking__227019b5-8f0b-48a5-9b66-3d550ae071c2_0,AI generated Contemplative Closeup Deep Introspection in Soft Natural Light,,"ai generated,Contemplative, Closeup shot, Person, 50mm lens, Soft, Natural background, Deep introspection, Introspective, Reflective, Thoughtful, Contemplation, Pensive, Meditative, Inner peace, Emotional, Mindful, Solitude, Quiet, Thoughtprovoking, Introspection, Selfreflection, Calmness, Tranquility, Depth, Reflecting, Inner thoughts, Soul searching, Inner world, Inner self, Silence, Contemplating, Inner journey, Selfexploration, Inner feeling, Inner emotion, Inner contemplation, Inner reflection, Inner state, Inner mindset, Inner examination, Quiet mind",Free
meulindo_A_closeup_shot_of_a_person_with_a_50mm_lens_looking__227019b5-8f0b-48a5-9b66-3d550ae071c2_1,AI generated Contemplative Closeup Person with 50mm Lens Amid Soft Natural Background Evoking Deep Introspection,,"ai generated,Contemplative, Closeup shot, 50mm lens, Person, Soft, Natural background, Deep introspection",Free
meulindo_A_closeup_shot_of_a_person_with_a_50mm_lens_looking__227019b5-8f0b-48a5-9b66-3d550ae071c2_2,AI generated Contemplative Closeup Person Captured with 50mm Lens in Deeply Introspective Natural Setting,,"ai generated,Contemplative, Closeup, Person, 50mm lens, Soft, Natural background, Deep introspection",Free
meulindo_A_closeup_shot_of_a_person_with_a_50mm_lens_looking__227019b5-8f0b-48a5-9b66-3d550ae071c2_3,AI generated Contemplative Closeup Softly Captured Introspection,,"ai generated,Contemplative, Closeup, 50mm lens, Introspection, Soft, Natural background, Person, Contemplation, Deep, Shot, Looking, Sense, Conveying, Relevancy",Free
meulindo_A_closeup_shot_of_a_womans_face_with_an_intense_expr_349f1298-0881-4553-b1ec-5bac83cee071_0,AI generated Intense Portrait of a Tearful Woman with Soft Natural Light Captured with 50mm Lens,,"ai generated,Womans face, Intense expression, Sadness, Tears, Eyes, Closeup, Soft natural light, Blurred background, 50mm lens",Free
meulindo_A_closeup_shot_of_a_womans_face_with_an_intense_expr_349f1298-0881-4553-b1ec-5bac83cee071_1,AI generated Intense Sadness Womans Tearful Expression Captured in Closeup with Soft Natural Light,,"ai generated,Woman, Sadness, Tears, Intense expression, Closeup, Face, Eyes, Blurred background, 50mm lens, Soft light",Free
