Filename,Title,Keywords,Category,Releases
meulindo_A_closeup_shot_of_a_person_sitting_alone_on_a_bench__19561197-d7e2-44c2-9f24-2fc026bd83dc_0.png,Solidão Serena: Pessoa contemplativa no banco de um parque olhar distante sob luz suave e tons verdes suaves,"solidão, contemplação, parque, luz suave, tons verdes, pessoa solitária, tranquilidade, introspecção, natureza, serenidade, calma, meditação, isolamento, paz interior, quietude, reflexão, harmonia, isolamento, solidão serena, melancolia, serenidade, pensamento, solitude, observação, sossego, relaxamento, isolamento, quietude, harmonia, introspecção, paz, conexão with natureza, tranquilidade, mente calm",,
meulindo_A_closeup_shot_of_a_person_sitting_alone_on_a_bench__19561197-d7e2-44c2-9f24-2fc026bd83dc_1.png,Solidão Serena: Pessoa contemplativa no banco de um parque olhar distante sob luz suave e tons verdes suaves,"solidão, contemplação, parque, luz suave, tons verdes, pessoa solitária, tranquilidade, introspecção, natureza, serenidade, calma, meditação, isolamento, paz interior, quietude, reflexão, harmonia, isolamento, solidão serena, melancolia, serenidade, pensamento, solitude, observação, sossego, relaxamento, isolamento, quietude, harmonia, introspecção, paz, conexão with natureza, tranquilidade, mente calm",,
meulindo_A_closeup_shot_of_a_person_sitting_alone_on_a_bench__19561197-d7e2-44c2-9f24-2fc026bd83dc_2.png,Solidão Serena: Pessoa contemplativa no banco de um parque olhar distante sob luz suave e tons verdes suaves,"solidão, contemplação, parque, luz suave, tons verdes, pessoa solitária, tranquilidade, introspecção, natureza, serenidade, calma, meditação, isolamento, paz interior, quietude, reflexão, harmonia, isolamento, solidão serena, melancolia, serenidade, pensamento, solitude, observação, sossego, relaxamento, isolamento, quietude, harmonia, introspecção, paz, conexão with natureza, tranquilidade, mente calm",,
meulindo_A_closeup_shot_of_a_person_sitting_alone_on_a_bench__19561197-d7e2-44c2-9f24-2fc026bd83dc_3.png,Solidão Serena: Pessoa contemplativa no banco de um parque olhar distante sob luz suave e tons verdes suaves,"solidão, contemplação, parque, luz suave, tons verdes, pessoa solitária, tranquilidade, introspecção, natureza, serenidade, calma, meditação, isolamento, paz interior, quietude, reflexão, harmonia, isolamento, solidão serena, melancolia, serenidade, pensamento, solitude, observação, sossego, relaxamento, isolamento, quietude, harmonia, introspecção, paz, conexão with natureza, tranquilidade, mente calm",,
meulindo_A_closeup_shot_of_a_person_with_a_50mm_lens_looking__227019b5-8f0b-48a5-9b66-3d550ae071c2_0.png,Momento Aconchegante: Jovem desfruta de leitura junto à lareira envolta por tranquilidade e luz suave natural,"leitura, lareira, tranquilidade, luz suave, conforto, momento aconchegante, jovem, relaxamento, folhear, descanso, paz, alegria, calmaria, contemplação, prazer, sossego, serenidade, bem-estar, inspiração, meditação, solitude, contemplativo, sossegado, reclusão, paz interior, harmonia, reflexão, enlevo, encanto, alegria, aconchego, contemplativo, tempo livre, prazer, pausa, serenidade, introspecção, aconchegante, sossego",,
meulindo_A_closeup_shot_of_a_person_with_a_50mm_lens_looking__227019b5-8f0b-48a5-9b66-3d550ae071c2_1.png,Momento Aconchegante: Jovem desfruta de leitura junto à lareira envolta por tranquilidade e luz suave natural,"leitura, lareira, tranquilidade, luz suave, conforto, momento aconchegante, jovem, relaxamento, folhear, descanso, paz, alegria, calmaria, contemplação, prazer, sossego, serenidade, bem-estar, inspiração, meditação, solitude, contemplativo, sossegado, reclusão, paz interior, harmonia, reflexão, enlevo, encanto, alegria, aconchego, contemplativo, tempo livre, prazer, pausa, serenidade, introspecção, aconchegante, sossego",,
meulindo_A_closeup_shot_of_a_person_with_a_50mm_lens_looking__227019b5-8f0b-48a5-9b66-3d550ae071c2_2.png,Momento Aconchegante: Jovem desfruta de leitura junto à lareira envolta por tranquilidade e luz suave natural,"leitura, lareira, tranquilidade, luz suave, conforto, momento aconchegante, jovem, relaxamento, folhear, descanso, paz, alegria, calmaria, contemplação, prazer, sossego, serenidade, bem-estar, inspiração, meditação, solitude, contemplativo, sossegado, reclusão, paz interior, harmonia, reflexão, enlevo, encanto, alegria, aconchego, contemplativo, tempo livre, prazer, pausa, serenidade, introspecção, aconchegante, sossego",,
meulindo_A_closeup_shot_of_a_person_with_a_50mm_lens_looking__227019b5-8f0b-48a5-9b66-3d550ae071c2_3.png,Momento Aconchegante: Jovem desfruta de leitura junto à lareira envolta por tranquilidade e luz suave natural,"leitura, lareira, tranquilidade, luz suave, conforto, momento aconchegante, jovem, relaxamento, folhear, descanso, paz, alegria, calmaria, contemplação, prazer, sossego, serenidade, bem-estar, inspiração, meditação, solitude, contemplativo, sossegado, reclusão, paz interior, harmonia, reflexão, enlevo, encanto, alegria, aconchego, contemplativo, tempo livre, prazer, pausa, serenidade, introspecção, aconchegante, sossego",,
meulindo_A_closeup_shot_of_a_womans_face_with_an_intense_expr_349f1298-0881-4553-b1ec-5bac83cee071_0.png,Retrato comovente: Expressão intensa de tristeza com lágrimas nos olhos Foco nas lágrimas fundo desfocado luz suave,"expressão intensa, tristeza, lágrimas, retrato, comovente, emoções, sofrimento, dor, intensidade, rosto, olhos, fundo desfocado, luz suave, expressão emocional, sofrimento emocional, choro, sensibilidade, melancolia, angústia, dor emocional, retrato emocional, lágrimas nos olhos, expressividade, expressão artística, arte emocional, fotografia emocional, empatia, humanidade, dramaticidade, expressão facial, desespero, emoção genuína, expressão autêntica, vulnerabilidade, reflexão, beleza emocional, serenidade",,
meulindo_A_closeup_shot_of_a_womans_face_with_an_intense_expr_349f1298-0881-4553-b1ec-5bac83cee071_1.png,Retrato comovente: Expressão intensa de tristeza com lágrimas nos olhos Foco nas lágrimas fundo desfocado luz suave,"expressão intensa, tristeza, lágrimas, retrato, comovente, emoções, sofrimento, dor, intensidade, rosto, olhos, fundo desfocado, luz suave, expressão emocional, sofrimento emocional, choro, sensibilidade, melancolia, angústia, dor emocional, retrato emocional, lágrimas nos olhos, expressividade, expressão artística, arte emocional, fotografia emocional, empatia, humanidade, dramaticidade, expressão facial, desespero, emoção genuína, expressão autêntica, vulnerabilidade, reflexão, beleza emocional, serenidade",,
